Name,Address,Website,Plus-code,lat,lon
Quick quack carwash,"10-12 Luxford Rd, Mount Druitt NSW 2770, Australia ",,"6RPF+3W Mount Druitt, New South Wales, Australia",-33.7647848,150.824855
IMO Car Wash,"Cnr Carlisle Ave, Kurrajong Ave, Mount Druitt NSW 2750, Australia ",https://www.imocarwash.com/au/car-washes/mt-druitt-new-south-wales/mt-druitt-car-wash/?y_source=1_MTIyNzE3NDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"6RM9+C2 Mount Druitt, New South Wales, Australia",-33.766395,150.817507
RR Car Wash,"Westfield, Luxford Rd, Mount Druitt NSW 2770, Australia ",https://www.rrcarwash.com.au/,,-33.765718,150.8201539
Star Car Wash - Westfield Mount Druitt,"Westfield Mount Druitt, level 1 Woolworths Car Park Carlisle Ave &, Luxford Rd, Mount Druitt NSW 2770, Australia ",https://www.starcarwash.com.au/centres/mount-druitt/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,-33.7679499,150.8185932
Sam’s hand Carwash,"591 Carlisle Ave, Minchinbury NSW 2770, Australia ",,,-33.7816724,150.8151253
Definition Car Detailing & Ceramic coating services,"8/116 Kurrajong Ave, Mount Druitt NSW 2770, Australia ",http://www.definitioncardetailing.com.au/,,-33.7637925,150.8040493
CleanWheels,"2-4 O'Brien St, Mount Druitt NSW 2770, Australia ",,"6RR9+HH Mount Druitt, New South Wales, Australia",-33.7585592,150.8188883
Excel Car Wash,"Unit 42/34-40 Sterling Rd, Minchinbury NSW 2770, Australia ",,"6R99+G3 Minchinbury, New South Wales, Australia",-33.7812119,150.8176953
Soft Wash,"Rooty Hill NSW 2766, Australia ",,"6R9H+3M Rooty Hill, New South Wales, Australia",-33.7823417,150.8291543
Reni's Carwash,"11 John Hines Ave, Mount Druitt NSW 2770, Australia ",,"6R97+P4 Mount Druitt, New South Wales, Australia",-33.7806597,150.8127933
Osren Australia Car Care Supplier,"8/116 Kurrajong Ave, Mount Druitt NSW 2770, Australia ",https://osren.com.au/,"6RP3+JM Mount Druitt, New South Wales, Australia",-33.7634897,150.8041912
Image Autospa St Marys,"16 Gallipoli St, St Marys NSW 2760, Australia ",https://www.facebook.com/ImageAutospaStmarys/,"6Q9C+92 St Marys, New South Wales, Australia",-33.7815116,150.7700718
"Dr Car Care, Mobile Automotive Detailing Car Wash To You","Wren Terrace, Plumpton NSW 2761, Australia ",,"6RWQ+QM Plumpton, New South Wales, Australia",-33.7530286,150.8392429
