Name,Address,Website,Plus-code,lat,lon
Bright Car Wash,"Rockdale NSW 2216, Australia ",,"24RQ+VX Rockdale, New South Wales, Australia",-33.9578136,151.1399185
Green and Gold,"444 W Botany St, Rockdale NSW 2216, Australia ",,"24RW+29 Rockdale, New South Wales, Australia",-33.9599663,151.1458821
ShinyRoo Car Detailing,"13/380 W Botany St, Rockdale NSW 2216, Australia ",https://www.shinyroo.com/,"24RX+R4 Rockdale, New South Wales, Australia",-33.9578953,151.1478296
Wash My Ride,"71-75 Princes Hwy, Kogarah NSW 2217, Australia ",https://www.facebook.com/washmyridekogarah,"24PP+9P Kogarah, New South Wales, Australia",-33.9640808,151.1367645
Kogarah Car Wash,"Rooftop Car Park, Kogarah Town Centre, 1-9 Railway Parade, Kogarah NSW 2217, Australia ",,"24QM+73 Kogarah, New South Wales, Australia",-33.9618677,151.1327164
Spotless Carwash N Cafe,"1/413 Canterbury Rd, Campsie NSW 2194, Australia ",https://www.facebook.com/Spotless-Carwash-N-Cafe-1716026815392523,"34M5+C8 Campsie, New South Wales, Australia",-33.9164439,151.108292
Pro Shine Car Wash and Detailing,"6 Princes Hwy, Kogarah NSW 2217, Australia ",,"24JP+58 Kogarah, New South Wales, Australia",-33.9695049,151.1358382
Stacks Of Wax,"19 The Seven Ways, Rockdale NSW 2216, Australia ",,"24WP+PP Rockdale, New South Wales, Australia",-33.9531655,151.1367637
GLOW CAR WASH & CAFE Bexley,"295-299 Forest Rd, Bexley NSW 2207, Australia ",,"344H+69 Bexley, New South Wales, Australia",-33.9444157,151.1284725
Car Needs | Car Was | Spare Parts,"Unit 1110, 3 Rockdale Plaza, Drive, Rockdale, NSW - 2216, Sydney NSW 2113, Australia ",,"24RQ+MX Rockdale, New South Wales, Australia",-33.9583017,151.1399295
