Name,Address,Website,Plus-code,lat,lon
Prestige Hand Car Wash,"18-42 Racecourse Rd, North Melbourne VIC 3051, Australia ",https://www.prestigehcw.com.au/,"6W6R+96 North Melbourne, Victoria, Australia",-37.7890052,144.9405674
Magic Hand Carwash - West Melbourne,"438 Spencer St, West Melbourne VIC 3003, Australia ",https://www.magichcw.com.au/,"5XR2+53 West Melbourne, Victoria, Australia",-37.8095812,144.9501724
Wash N Shop,"Queen Victoria Car Park QV, 222 Lonsdale St, Melbourne VIC 3000, Australia ",,"5XQ8+H2 Melbourne, Victoria, Australia",-37.8111121,144.9650986
The Happy Hippo Carwash,"Basement Level 1/111 Cecil St, South Melbourne VIC 3205, Australia ",,"5X94+VX South Melbourne, Victoria, Australia",-37.8302691,144.9574522
All Shine Hand Car Wash,"243/251 Macaulay Rd, North Melbourne VIC 3051, Australia ",https://allshinehandcarwash.com.au/,"6W3Q+QC North Melbourne, Victoria, Australia",-37.7956139,144.9385702
Magic Carwash Richmond,"35 Hoddle St, Richmond VIC 3121, Australia ",http://www.magichcw.com.au/,"5XQR+FJ Richmond, Victoria, Australia",-37.8113105,144.9916016
Grand Wash Auto,"347 Darebin Rd, Thornbury VIC 3071, Australia ",https://www.grandwashauto.com.au/?utm_source=GMB&utm_medium=organic,,-37.7662751,145.0291713
Evolution Car Wash,"99 Carlisle St, St Kilda VIC 3182, Australia ",http://stkildacarwash.weebly.com/,,-37.8679979,144.9863406
Burwood Car & Dog Wash,"46 Highbury Rd, Burwood VIC 3125, Australia ",https://burwoodcarwash.com.au/,,-37.8544441,145.1017791
Carrera Car Wash,"160-164 Montague St, South Melbourne VIC 3205, Australia ",https://carreracarwash.com.au/,,-37.832392,144.951262
Carwash2you,"274 City Rd, Southbank VIC 3006, Australia ",https://www.carwash2you.com.au/,,-37.8261914,144.9591955
MUCKOFF Hand Car Wash & Master Detailing Centres,"5 Ellis St, South Yarra VIC 3141, Australia ",http://www.muckoff.com.au/,,-37.8439857,144.9954568
UltraWash Car and Dog Wash,"43 Raleigh Rd, Maribyrnong VIC 3032, Australia ",,"6VJW+4F Maribyrnong, Victoria, Australia",-37.7696461,144.8961785
Infinity Carwash and Cafe Moorabbin,"180-182 Chesterville Rd, Moorabbin VIC 3189, Australia ",https://www.infinitycarwash.com.au/locations/moorabbin/?utm_source=Google+Business+Page+Moorabbin&utm_medium=GMB+,"3335+2P Moorabbin, Victoria, Australia",-37.947413,145.059263
Eco Touch Steam Mobile Car Wash,"Mobile car wash and detailing, we come to you, Brunswick VIC 3057, Australia ",https://www.ecotouchsteam.com.au/,,-37.7667998,144.9723909
Prestige Hand Car Wash,"467 Plummer St, Port Melbourne VIC 3207, Australia ",http://prestigehcw.com.au/,"5W9H+FM Port Melbourne, Victoria, Australia",-37.8313713,144.9291381
BP Car Wash,"274 Swan St, Richmond VIC 3121, Australia ",https://www.bp.com/en_au/australia/home/who-we-are/find-your-nearest-bp.html,,-37.8260916,144.9997963
